Weather_ID,Weather_Key 
0,12/31/2015 0:15
1,12/31/2015 0:42
2,12/31/2015 0:51
3,12/31/2015 1:51
4,12/31/2015 2:51
5,12/31/2015 3:28
6,12/31/2015 3:40
7,12/31/2015 3:51
8,12/31/2015 4:22
9,12/31/2015 4:51
10,12/31/2015 5:14
11,12/31/2015 5:51
12,12/31/2015 6:51
13,12/31/2015 7:14
14,12/31/2015 7:28
15,12/31/2015 7:51
16,12/31/2015 8:51
17,12/31/2015 9:51
18,12/31/2015 10:51
19,12/31/2015 11:51
20,12/31/2015 12:51
21,12/31/2015 13:51
22,12/31/2015 14:51
23,12/31/2015 15:51
24,12/31/2015 16:51
25,12/31/2015 17:51
26,12/31/2015 18:51
27,12/31/2015 19:51
28,12/31/2015 20:51
29,12/31/2015 21:51
30,12/31/2015 22:51
31,12/31/2015 23:51
32,1/1/2016 0:51
33,1/1/2016 1:51
34,1/1/2016 2:51
35,1/1/2016 3:51
36,1/1/2016 4:51
37,1/1/2016 5:51
38,1/1/2016 6:51
39,1/1/2016 7:51
40,1/1/2016 8:51
41,1/1/2016 9:51
42,1/1/2016 10:51
43,1/1/2016 11:51
44,1/1/2016 12:51
45,1/1/2016 13:51
46,1/1/2016 14:51
47,1/1/2016 15:51
48,1/1/2016 16:51
49,1/1/2016 17:51
50,1/1/2016 18:51
51,1/1/2016 19:51
52,1/1/2016 20:51
53,1/1/2016 21:51
54,1/1/2016 22:51
55,1/1/2016 23:51
56,1/2/2016 0:51
57,1/2/2016 1:51
58,1/2/2016 2:51
59,1/2/2016 3:51
60,1/2/2016 4:51
61,1/2/2016 5:51
62,1/2/2016 6:51
63,1/2/2016 7:51
64,1/2/2016 8:51
65,1/2/2016 9:51
66,1/2/2016 10:51
67,1/2/2016 11:51
68,1/2/2016 12:51
69,1/2/2016 13:51
70,1/2/2016 14:51
71,1/2/2016 15:51
72,1/2/2016 16:51
73,1/2/2016 17:51
74,1/2/2016 18:51
75,1/2/2016 19:51
76,1/2/2016 20:51
77,1/2/2016 21:51
78,1/2/2016 22:51
79,1/2/2016 23:51
80,1/3/2016 0:51
81,1/3/2016 1:51
82,1/3/2016 2:51
83,1/3/2016 3:51
84,1/3/2016 4:51
85,1/3/2016 5:51
86,1/3/2016 6:51
87,1/3/2016 7:51
88,1/3/2016 8:51
89,1/3/2016 9:51
90,1/3/2016 10:51
91,1/3/2016 11:51
92,1/3/2016 12:51
93,1/3/2016 13:51
94,1/3/2016 14:51
95,1/3/2016 15:51
96,1/3/2016 16:51
97,1/3/2016 17:51
98,1/3/2016 18:51
99,1/3/2016 19:51
100,1/3/2016 20:51
101,1/3/2016 21:51
102,1/3/2016 22:08
103,1/3/2016 22:21
104,1/3/2016 22:51
105,1/3/2016 23:51
106,1/4/2016 0:51
107,1/4/2016 1:51
